<Offset into main = 5537>
<Offset to target instruction = 111098>
<Difference = 111098 - 5537 = 105561>
<Return out of main; trigger lower = 111230>

0 34 0x00000000 0xf14020f3 M csrrs         x1, mhartid, x0
231 1053 0x00000100 0x00052023 M sw            x10, 0(x0)
232 1055 0x00000104 0x00450513 M addi          x10, x4, 4
233 1059 0x00000108 0xff5ff06f M jal           x0, -12
234 1064 0x000000fc 0x00b55863 M bge           x11, x10, 16
235 1070 0x00000100 0x00052023 M sw            x10, 0(x0)
236 1072 0x00000104 0x00450513 M addi          x10, x4, 4
237 1076 0x00000108 0xff5ff06f M jal           x0, -12
238 1081 0x000000fc 0x00b55863 M bge           x11, x10, 16
239 1087 0x00000100 0x00052023 M sw            x10, 0(x0)
240 1089 0x00000104 0x00450513 M addi          x10, x4, 4
241 1093 0x00000108 0xff5ff06f M jal           x0, -12
242 1098 0x000000fc 0x00b55863 M bge           x11, x10, 16
243 1104 0x00000100 0x00052023 M sw            x10, 0(x0)
244 1106 0x00000104 0x00450513 M addi          x10, x4, 4
245 1110 0x00000108 0xff5ff06f M jal           x0, -12
246 1115 0x000000fc 0x00b55863 M bge           x11, x10, 16
247 1121 0x00000100 0x00052023 M sw            x10, 0(x0)
248 1123 0x00000104 0x00450513 M addi          x10, x4, 4
249 1127 0x00000108 0xff5ff06f M jal           x0, -12
250 1132 0x000000fc 0x00b55863 M bge           x11, x10, 16
251 1138 0x00000100 0x00052023 M sw            x10, 0(x0)
252 1140 0x00000104 0x00450513 M addi          x10, x4, 4
253 1144 0x00000108 0xff5ff06f M jal           x0, -12
254 1149 0x000000fc 0x00b55863 M bge           x11, x10, 16
255 1155 0x00000100 0x00052023 M sw            x10, 0(x0)
256 1157 0x00000104 0x00450513 M addi          x10, x4, 4
257 1161 0x00000108 0xff5ff06f M jal           x0, -12
258 1166 0x000000fc 0x00b55863 M bge           x11, x10, 16
259 1172 0x00000100 0x00052023 M sw            x10, 0(x0)
260 1174 0x00000104 0x00450513 M addi          x10, x4, 4
261 1178 0x00000108 0xff5ff06f M jal           x0, -12
262 1183 0x000000fc 0x00b55863 M bge           x11, x10, 16
263 1189 0x00000100 0x00052023 M sw            x10, 0(x0)
264 1191 0x00000104 0x00450513 M addi          x10, x4, 4
265 1195 0x00000108 0xff5ff06f M jal           x0, -12
266 1200 0x000000fc 0x00b55863 M bge           x11, x10, 16
267 1206 0x00000100 0x00052023 M sw            x10, 0(x0)
268 1208 0x00000104 0x00450513 M addi          x10, x4, 4
269 1212 0x00000108 0xff5ff06f M jal           x0, -12
270 1217 0x000000fc 0x00b55863 M bge           x11, x10, 16
271 1223 0x00000100 0x00052023 M sw            x10, 0(x0)
272 1225 0x00000104 0x00450513 M addi          x10, x4, 4
273 1229 0x00000108 0xff5ff06f M jal           x0, -12
274 1234 0x000000fc 0x00b55863 M bge           x11, x10, 16
275 1240 0x00000100 0x00052023 M sw            x10, 0(x0)
276 1242 0x00000104 0x00450513 M addi          x10, x4, 4
277 1246 0x00000108 0xff5ff06f M jal           x0, -12
278 1251 0x000000fc 0x00b55863 M bge           x11, x10, 16
279 1257 0x00000100 0x00052023 M sw            x10, 0(x0)
280 1259 0x00000104 0x00450513 M addi          x10, x4, 4
281 1263 0x00000108 0xff5ff06f M jal           x0, -12
282 1268 0x000000fc 0x00b55863 M bge           x11, x10, 16
283 1274 0x00000100 0x00052023 M sw            x10, 0(x0)
284 1276 0x00000104 0x00450513 M addi          x10, x4, 4
285 1280 0x00000108 0xff5ff06f M jal           x0, -12
286 1285 0x000000fc 0x00b55863 M bge           x11, x10, 16
287 1291 0x00000100 0x00052023 M sw            x10, 0(x0)
288 1293 0x00000104 0x00450513 M addi          x10, x4, 4
289 1297 0x00000108 0xff5ff06f M jal           x0, -12
290 1302 0x000000fc 0x00b55863 M bge           x11, x10, 16
291 1308 0x00000100 0x00052023 M sw            x10, 0(x0)
292 1310 0x00000104 0x00450513 M addi          x10, x4, 4
293 1314 0x00000108 0xff5ff06f M jal           x0, -12
294 1319 0x000000fc 0x00b55863 M bge           x11, x10, 16
295 1325 0x00000100 0x00052023 M sw            x10, 0(x0)
296 1327 0x00000104 0x00450513 M addi          x10, x4, 4
297 1331 0x00000108 0xff5ff06f M jal           x0, -12
298 1336 0x000000fc 0x00b55863 M bge           x11, x10, 16
299 1342 0x00000100 0x00052023 M sw            x10, 0(x0)
300 1344 0x00000104 0x00450513 M addi          x10, x4, 4
301 1348 0x00000108 0xff5ff06f M jal           x0, -12
302 1353 0x000000fc 0x00b55863 M bge           x11, x10, 16
303 1359 0x00000100 0x00052023 M sw            x10, 0(x0)
304 1361 0x00000104 0x00450513 M addi          x10, x4, 4
305 1365 0x00000108 0xff5ff06f M jal           x0, -12
306 1370 0x000000fc 0x00b55863 M bge           x11, x10, 16
307 1376 0x00000100 0x00052023 M sw            x10, 0(x0)
308 1378 0x00000104 0x00450513 M addi          x10, x4, 4
309 1382 0x00000108 0xff5ff06f M jal           x0, -12
310 1387 0x000000fc 0x00b55863 M bge           x11, x10, 16
311 1393 0x00000100 0x00052023 M sw            x10, 0(x0)
312 1395 0x00000104 0x00450513 M addi          x10, x4, 4
313 1399 0x00000108 0xff5ff06f M jal           x0, -12
314 1404 0x000000fc 0x00b55863 M bge           x11, x10, 16
315 1410 0x00000100 0x00052023 M sw            x10, 0(x0)
316 1412 0x00000104 0x00450513 M addi          x10, x4, 4
317 1416 0x00000108 0xff5ff06f M jal           x0, -12
318 1421 0x000000fc 0x00b55863 M bge           x11, x10, 16
319 1427 0x00000100 0x00052023 M sw            x10, 0(x0)
320 1429 0x00000104 0x00450513 M addi          x10, x4, 4
321 1433 0x00000108 0xff5ff06f M jal           x0, -12
322 1438 0x000000fc 0x00b55863 M bge           x11, x10, 16
323 1444 0x00000100 0x00052023 M sw            x10, 0(x0)
324 1446 0x00000104 0x00450513 M addi          x10, x4, 4
325 1450 0x00000108 0xff5ff06f M jal           x0, -12
326 1455 0x000000fc 0x00b55863 M bge           x11, x10, 16
327 1461 0x00000100 0x00052023 M sw            x10, 0(x0)
328 1463 0x00000104 0x00450513 M addi          x10, x4, 4
329 1467 0x00000108 0xff5ff06f M jal           x0, -12
330 1472 0x000000fc 0x00b55863 M bge           x11, x10, 16
331 1478 0x00000100 0x00052023 M sw            x10, 0(x0)
332 1480 0x00000104 0x00450513 M addi          x10, x4, 4
333 1484 0x00000108 0xff5ff06f M jal           x0, -12
334 1489 0x000000fc 0x00b55863 M bge           x11, x10, 16
335 1495 0x00000100 0x00052023 M sw            x10, 0(x0)
336 1497 0x00000104 0x00450513 M addi          x10, x4, 4
337 1501 0x00000108 0xff5ff06f M jal           x0, -12
338 1506 0x000000fc 0x00b55863 M bge           x11, x10, 16
339 1512 0x00000100 0x00052023 M sw            x10, 0(x0)
340 1514 0x00000104 0x00450513 M addi          x10, x4, 4
341 1518 0x00000108 0xff5ff06f M jal           x0, -12
342 1523 0x000000fc 0x00b55863 M bge           x11, x10, 16
343 1529 0x00000100 0x00052023 M sw            x10, 0(x0)
344 1531 0x00000104 0x00450513 M addi          x10, x4, 4
345 1535 0x00000108 0xff5ff06f M jal           x0, -12
346 1540 0x000000fc 0x00b55863 M bge           x11, x10, 16
347 1546 0x00000100 0x00052023 M sw            x10, 0(x0)
348 1548 0x00000104 0x00450513 M addi          x10, x4, 4
349 1552 0x00000108 0xff5ff06f M jal           x0, -12
350 1557 0x000000fc 0x00b55863 M bge           x11, x10, 16
351 1563 0x00000100 0x00052023 M sw            x10, 0(x0)
352 1565 0x00000104 0x00450513 M addi          x10, x4, 4
353 1569 0x00000108 0xff5ff06f M jal           x0, -12
354 1575 0x000000fc 0x00b55863 M bge           x11, x10, 16
355 1580 0x0000010c 0x00001417 M auipc         x8, 0x00001000
356 1582 0x00000110 0x61840413 M addi          x8, x24, 1560
357 1584 0x00000114 0x00001497 M auipc         x9, 0x00001000
358 1586 0x00000118 0x61048493 M addi          x9, x16, 1552
359 1590 0x0000011c 0x00945a63 M bge           x9, x8, 20
360 1607 0x00000130 0x00000617 M auipc         x12, 0x00000000
361 1609 0x00000134 0x0e860613 M addi          x12, x8, 232
362 1611 0x00000138 0x80000197 M auipc         x3, 0x80000000
363 1613 0x0000013c 0x6c818193 M addi          x3, x8, 1736
364 1631 0x00000140 0x0ff0000f M fence         
365 1638 0x00000144 0x0000100f M fence.i       
366 1659 0x00000148 0x30029073 M csrrw         x0, mstatus, x5
367 1661 0x0000014c 0x00000513 M addi          x10, x0, 0
368 1663 0x00000150 0x00000593 M addi          x11, x0, 0
369 1667 0x00000154 0x000600e7 M jalr          x1, x0, 0





370 1685 0x00000218 0xff010113 M addi          x2, x16, -16         <-- <Entry into main>
371 1702 0x0000021c 0x00112623 M sw            x2, 12(x1)
372 1708 0x00000220 0x00812423 M sw            x2, 8(x8)
373 1710 0x00000224 0x01010413 M addi          x8, x16, 16
374 1714 0x00000228 0x2cd000ef M jal           x1, 2764
375 1732 0x00000cf4 0xfd010113 M addi          x2, x16, -48
376 1738 0x00000cf8 0x02112623 M sw            x2, 44(x1)
377 1753 0x00000cfc 0x02812423 M sw            x2, 40(x8)
378 1755 0x00000d00 0x03010413 M addi          x8, x16, 48
379 1757 0x00000d04 0x000027b7 M lui           x15, 0x00002000
380 1759 0x00000d08 0x80078793 M addi          x15, x0, -2048
381 1765 0x00000d0c 0xfcf42a23 M sw            x8, -44(x15)
382 1784 0x00000d10 0xfd442783 M lw            x15, -49(x8)
383 1790 0x00000d14 0xfcf42823 M sw            x8, -48(x15)
384 1795 0x00000d18 0xfd042783 M lw            x15, -49(x8)
385 1798 0x00000d1c 0x30079073 M csrrw         x0, mstatus, x15
